,question_number,question_text,question_subtext,body_text
63,QUESTION 64,OF THE MEAN OF VIRTUE,In Four Articles,"We must now consider the properties of virtues: and (1) the mean of
virtue, (2) the connection between virtues, (3) equality of virtues,
(4) the duration of virtues. Under the first head there are four
points of inquiry:

(1) Whether moral virtue observes the mean?

(2) Whether the mean of moral virtue is the real mean or the rational
mean?

(3) Whether the intellectual virtues observe the mean?

(4) Whether the theological virtues do?
"
64,QUESTION 65,OF THE CONNECTION OF VIRTUES,In Five Articles,"We must now consider the connection of virtues: under which head
there are five points of inquiry:

(1) Whether the moral virtues are connected with one another?

(2) Whether the moral virtues can be without charity?

(3) Whether charity can be without them?

(4) Whether faith and hope can be without charity?

(5) Whether charity can be without them?
"
65,QUESTION 66,OF EQUALITY AMONG THE VIRTUES,In Six Articles,"We must now consider equality among the virtues: under which head
there are six points of inquiry:

(1) Whether one virtue can be greater or less than another?

(2) Whether all the virtues existing together in one subject are
equal?

(3) Of moral virtue in comparison with intellectual virtue;

(4) Of the moral virtues as compared with one another;

(5) Of the intellectual virtues in comparison with one another;

(6) Of the theological virtues in comparison with one another.
"
66,QUESTION 67,OF THE DURATION OF VIRTUES AFTER THIS LIFE,In Six Articles,"We must now consider the duration of virtues after this life, under
which head there are six points of inquiry:

(1) Whether the moral virtues remain after this life?

(2) Whether the intellectual virtues remain?

(3) Whether faith remains?

(4) Whether hope remains?

(5) Whether anything remains of faith or hope?

(6) Whether charity remains?
"
67,QUESTION 68,OF THE GIFTS,In Eight Articles,"We now come to consider the Gifts; under which head there are eight
points of inquiry:

(1) Whether the Gifts differ from the virtues?

(2) Of the necessity of the Gifts?

(3) Whether the Gifts are habits?

(4) Which, and how many are they?

(5) Whether the Gifts are connected?

(6) Whether they remain in heaven?

(7) Of their comparison with one another;

(8) Of their comparison with the virtues.
"
68,QUESTION 69,OF THE BEATITUDES,In Four Articles,"We must now consider the beatitudes: under which head there are four
points of inquiry:

(1) Whether the beatitudes differ from the gifts and virtues?

(2) Of the rewards of the beatitudes: whether they refer to this life?

(3) Of the number of the beatitudes;

(4) Of the fittingness of the rewards ascribed to the beatitudes.
"
69,QUESTION 70,OF THE FRUITS OF THE HOLY GHOST,In Four Articles,"We must now consider the Fruits of the Holy Ghost: under which head
there are four points of inquiry:

(1) Whether the fruits of the Holy Ghost are acts?

(2) Whether they differ from the beatitudes?

(3) Of their number?

(4) Of their opposition to the works of the flesh.
"
70,QUESTION 71,OF VICE AND SIN CONSIDERED IN THEMSELVES,In Six Articles,"We have in the next place to consider vice and sin: about which six
points have to be considered: (1) Vice and sin considered in
themselves; (2) their distinction; (3) their comparison with one
another; (4) the subject of sin; (5) the cause of sin; (6) the effect
of sin.

Under the first head there are six points of inquiry:

(1) Whether vice is contrary to virtue?

(2) Whether vice is contrary to nature?

(3) Which is worse, a vice or a vicious act?

(4) Whether a vicious act is compatible with virtue?

(5) Whether every sin includes action?

(6) Of the definition of sin proposed by Augustine (Contra Faust.
xxii): ""Sin is a word, deed, or desire against the eternal law.""
"
71,QUESTION 72,OF THE DISTINCTION OF SINS,In Nine Articles,"We must now consider the distinction of sins or vices: under which
head there are nine points of inquiry:

(1) Whether sins are distinguished specifically by their objects?

(2) Of the distinction between spiritual and carnal sins;

(3) Whether sins differ in reference to their causes?

(4) Whether they differ with respect to those who are sinned against?

(5) Whether sins differ in relation to the debt of punishment?

(6) Whether they differ in regard to omission and commission?

(7) Whether they differ according to their various stages?

(8) Whether they differ in respect of excess and deficiency?

(9) Whether they differ according to their various circumstances?
"
72,QUESTION 73,OF THE COMPARISON OF ONE SIN WITH ANOTHER,In Ten Articles,"We must now consider the comparison of one sin with another: under
which head there are ten points of inquiry:

(1) Whether all sins and vices are connected with one another?

(2) Whether all are equal?

(3) Whether the gravity of sin depends on its object?

(4) Whether it depends on the excellence of the virtue to which it is
opposed?

(5) Whether carnal sins are more grievous than spiritual sins?

(6) Whether the gravity of sins depends on their causes?

(7) Whether it depends on their circumstances?

(8) Whether it depends on how much harm ensues?

(9) Whether on the position of the person sinned against?

(10) Whether sin is aggravated by reason of the excellence of the
person sinning?
"
73,QUESTION 74,OF THE SUBJECT OF SIN,In Ten Articles,"We must now consider the subject of vice or sin: under which head
there are ten points of inquiry:

(1) Whether the will can be the subject of sin?

(2) Whether the will alone is the subject of sin?

(3) Whether the sensuality can be the subject of sin?

(4) Whether it can be the subject of mortal sin?

(5) Whether the reason can be the subject of sin?

(6) Whether morose delectation or non-morose delectation be subjected
in the higher reason?

(7) Whether the sin of consent in the act of sin is subjected in the
higher reason?

(8) Whether the lower reason can be the subject of mortal sin?

(9) Whether the higher reason can be the subject of venial sin?

(10) Whether there can be in the higher reason a venial sin directed
to its proper object?
"
74,QUESTION 75,"OF THE CAUSES OF SIN, IN GENERAL",In Four Articles,"We must now consider the causes of sin: (1) in general; (2) in
particular. Under the first head there are four points of inquiry:

(1) Whether sin has a cause?

(2) Whether it has an internal cause?

(3) Whether it has an external cause?

(4) Whether one sin is the cause of another?
"
75,QUESTION 76,"OF THE CAUSES OF SIN, IN PARTICULAR",In Four Articles,"We must now consider the causes of sin, in particular, and (1) The
internal causes of sin; (2) its external causes; and (3) sins which
are the causes of other sins. In view of what has been said above (A.
2), the first consideration will be threefold: so that in the first
place we shall treat of ignorance, which is the cause of sin on the
part of reason; secondly, of weakness or passion, which is the cause
of sin on the part of the sensitive appetite; thirdly, of malice,
which is the cause of sin on the part of the will.

Under the first head, there are four points of inquiry:

(1) Whether ignorance is a cause of sin?

(2) Whether ignorance is a sin?

(3) Whether it excuses from sin altogether?

(4) Whether it diminishes sin?
"
76,QUESTION 77,"OF THE CAUSE OF SIN, ON THE PART OF THE SENSITIVE APPETITE",In Eight Articles,"We must now consider the cause of sin, on the part of the sensitive
appetite, as to whether a passion of the soul may be a cause of sin:
and under this head there are eight points of inquiry:

(1) Whether a passion of the sensitive appetite can move or incline
the will?

(2) Whether it can overcome the reason against the latter's knowledge?

(3) Whether a sin resulting from a passion is a sin of weakness?

(4) Whether the passion of self-love is the cause of every sin?

(5) Of three causes mentioned in 1 John 2:16: ""Concupiscence of the
eyes, Concupiscence of the flesh,"" and ""Pride of life.""

(6) Whether the passion which causes a sin diminishes it?

(7) Whether passion excuses from sin altogether?

(8) Whether a sin committed through passion can be mortal?
"
77,QUESTION 78,OF THAT CAUSE OF SIN WHICH IS MALICE,In Four Articles,"We must now consider the cause of sin on the part of the will, viz.
malice: and under this head there are four points of inquiry:

(1) Whether it is possible for anyone to sin through certain malice,
i.e. purposely?

(2) Whether everyone that sins through habit, sins through certain
malice?

(3) Whether every one that sins through certain malice, sins through
habit?

(4) Whether it is more grievous to sin through certain malice, than
through passion?
"
78,QUESTION 79,OF THE EXTERNAL CAUSES OF SIN,In Four Articles,"We must now consider the external causes of sin, and (1) on the part
of God; (2) on the part of the devil; (3) on the part of man.

Under the first head there are four points of inquiry:

(1) Whether God is a cause of sin?

(2) Whether the act of sin is from God?

(3) Whether God is the cause of spiritual blindness and hardness of
heart?

(4) Whether these things are directed to the salvation of those who
are blinded or hardened?
"
79,QUESTION 80,"OF THE CAUSE OF SIN, AS REGARDS THE DEVIL",In Four Articles,"We must now consider the cause of sin, as regards the devil; and
under this head there are four points of inquiry:

(1) Whether the devil is directly the cause of sin?

(2) Whether the devil induces us to sin, by persuading us inwardly?

(3) Whether he can make us sin of necessity?

(4) Whether all sins are due to the devil's suggestion?
"
80,QUESTION 81,"OF THE CAUSE OF SIN, ON THE PART OF MAN",In Five Articles,"We must now consider the cause of sin, on the part of man. Now, while
man, like the devil, is the cause of another's sin, by outward
suggestion, he has a certain special manner of causing sin, by way of
origin. Wherefore we must speak about original sin, the consideration
of which will be three-fold: (1) Of its transmission; (2) of its
essence; (3) of its subject.

Under the first head there are five points of inquiry:

(1) Whether man's first sin is transmitted, by way of origin to his
descendants?

(2) Whether all the other sins of our first parent, or of any other
parents, are transmitted to their descendants, by way of origin?

(3) Whether original sin is contracted by all those who are begotten
of Adam by way of seminal generation?

(4) Whether it would be contracted by anyone formed miraculously from
some part of the human body?

(5) Whether original sin would have been contracted if the woman, and
not the man, had sinned?
"
81,QUESTION 82,"OF ORIGINAL SIN, AS TO ITS ESSENCE",In Four Articles,"We must now consider original sin as to its essence, and under this
head there are four points of inquiry:

(1) Whether original sin is a habit?

(2) Whether there is but one original sin in each man?

(3) Whether original sin is concupiscence?

(4) Whether original sin is equally in all?
"
82,QUESTION 83,OF THE SUBJECT OF ORIGINAL SIN,In Four Articles,"We must now consider the subject of original sin, under which head
there are four points of inquiry:

(1) Whether the subject of original sin is the flesh rather than the
soul?

(2) If it be the soul, whether this be through its essence, or
through its powers?

(3) Whether the will prior to the other powers is the subject of
original sin?

(4) Whether certain powers of the soul are specially infected, viz.
the generative power, the concupiscible part, and the sense of touch?
"
83,QUESTION 84,"OF THE CAUSE OF SIN, IN RESPECT OF ONE SIN BEING THE CAUSE OF ANOTHER",In Four Articles,"We must now consider the cause of sin, in so far as one sin can be
the cause of another. Under this head there are four points of
inquiry:

(1) Whether covetousness is the root of all sins?

(2) Whether pride is the beginning of every sin?

(3) Whether other special sins should be called capital vices,
besides pride and covetousness?

(4) How many capital vices there are, and which are they?
"
84,QUESTION 85,"OF THE EFFECTS OF SIN, AND, FIRST, OF THE CORRUPTION OF THE GOOD OF NATURE",In Six Articles,"We must now consider the effects of sin; and (1) the corruption of
the good of nature; (2) the stain on the soul; (3) the debt of
punishment.

Under the first head there are six points of inquiry:

(1) Whether the good of nature is diminished by sin?

(2) Whether it can be taken away altogether?

(3) Of the four wounds, mentioned by Bede, with which human nature is
stricken in consequence of sin.

(4) Whether privation of mode, species and order is an effect of sin?

(5) Whether death and other bodily defects are the result of sin?

(6) Whether they are, in any way, natural to man?
"
85,QUESTION 86,OF THE STAIN OF SIN,In Two Articles,"We must now consider the stain of sin; under which head there are two
points of inquiry:

(1) Whether an effect of sin is a stain on the soul?

(2) Whether it remains in the soul after the act of sin?
"
86,QUESTION 87,OF THE DEBT OF PUNISHMENT,In Eight Articles,"We must now consider the debt of punishment. We shall consider (1)
the debt itself; (2) mortal and venial sin, which differ in respect
of the punishment due to them.

Under the first head there are eight points of inquiry:

(1) Whether the debt of punishment is an effect of sin?

(2) Whether one sin can be the punishment of another?

(3) Whether any sin incurs a debt of eternal punishment?

(4) Whether sin incurs a debt of punishment that is infinite in
quantity?

(5) Whether every sin incurs a debt of eternal and infinite
punishment?

(6) Whether the debt of punishment can remain after sin?

(7) Whether every punishment is inflicted for a sin?

(8) Whether one person can incur punishment for another's sin?
"
87,QUESTION 88,OF VENIAL AND MORTAL SIN,In Six Articles,"In the next place, since venial and mortal sins differ in respect of
the debt of punishment, we must consider them. First, we shall
consider venial sin as compared with mortal sin; secondly, we shall
consider venial sin in itself.

Under the first head there are six points of inquiry:

(1) Whether venial sin is fittingly condivided with mortal sin?

(2) Whether they differ generically?

(3) Whether venial sin is a disposition to mortal sin?

(4) Whether a venial sin can become mortal?

(5) Whether a venial sin can become mortal by reason of an
aggravating circumstance?

(6) Whether a mortal sin can become venial?
"
88,QUESTION 89,OF VENIAL SIN IN ITSELF,In Six Articles,"We must now consider venial sin in itself, and under this head there
are six points of inquiry:

(1) Whether venial sin causes a stain in the soul?

(2) Of the different kinds of venial sin, as denoted by ""wood,""
""hay,"" ""stubble"" (1 Cor. 3:12);

(3) Whether man could sin venially in the state of innocence?

(4) Whether a good or a wicked angel can sin venially?

(5) Whether the movements of unbelievers are venial sins?

(6) Whether venial sin can be in a man with original sin alone?
"
89,QUESTION 90,OF THE ESSENCE OF LAW,In Four Articles,"We have now to consider the extrinsic principles of acts. Now the
extrinsic principle inclining to evil is the devil, of whose
temptations we have spoken in the First Part (Q. 114). But the
extrinsic principle moving to good is God, Who both instructs us by
means of His Law, and assists us by His Grace: wherefore in the first
place we must speak of law; in the second place, of grace.

Concerning law, we must consider: (1) Law itself in general; (2) its
parts. Concerning law in general three points offer themselves for
our consideration: (1) Its essence; (2) The different kinds of law;
(3) The effects of law.

Under the first head there are four points of inquiry:

(1) Whether law is something pertaining to reason?

(2) Concerning the end of law;

(3) Its cause;

(4) The promulgation of law.
"
90,QUESTION 91,OF THE VARIOUS KINDS OF LAW,In Six Articles,"We must now consider the various kinds of law: under which head there
are six points of inquiry:

(1) Whether there is an eternal law?

(2) Whether there is a natural law?

(3) Whether there is a human law?

(4) Whether there is a Divine law?

(5) Whether there is one Divine law, or several?

(6) Whether there is a law of sin?
"
91,QUESTION 92,OF THE EFFECTS OF LAW,In Two articles,"We must now consider the effects of law; under which head there are
two points of inquiry:

(1) Whether an effect of law is to make men good?

(2) Whether the effects of law are to command, to forbid, to permit,
and to punish, as the Jurist states?
"
92,QUESTION 93,OF THE ETERNAL LAW,In Six Articles,"We must now consider each law by itself; and (1) The eternal law; (2)
The natural law; (3) The human law; (4) The old law; (5) The new law,
which is the law of the Gospel. Of the sixth law which is the law of
the _fomes,_ suffice what we have said when treating of original sin.

Concerning the first there are six points of inquiry:

(1) What is the eternal law?

(2) Whether it is known to all?

(3) Whether every law is derived from it?

(4) Whether necessary things are subject to the eternal law?

(5) Whether natural contingencies are subject to the eternal law?

(6) Whether all human things are subject to it?
"
93,QUESTION 94,OF THE NATURAL LAW,In Six Articles,"We must now consider the natural law; concerning which there are six
points of inquiry:

(1) What is the natural law?

(2) What are the precepts of the natural law?

(3) Whether all acts of virtue are prescribed by the natural law?

(4) Whether the natural law is the same in all?

(5) Whether it is changeable?

(6) Whether it can be abolished from the heart of man?
"
94,QUESTION 95,OF HUMAN LAW,In Four Articles,"We must now consider human law; and (1) this law considered in
itself; (2) its power; (3) its mutability. Under the first head
there are four points of inquiry:

(1) Its utility.

(2) Its origin.

(3) Its quality.

(4) Its division.
"
95,QUESTION 96,OF THE POWER OF HUMAN LAW,In Six Articles,"We must now consider the power of human law. Under this head there
are six points of inquiry:

(1) Whether human law should be framed for the community?

(2) Whether human law should repress all vices?

(3) Whether human law is competent to direct all acts of virtue?

(4) Whether it binds man in conscience?

(5) Whether all men are subject to human law?

(6) Whether those who are under the law may act beside the letter
of the law?
"
96,QUESTION 97,OF CHANGE IN LAWS,In Four Articles,"We must now consider change in laws: under which head there are four
points of inquiry:

(1) Whether human law is changeable?

(2) Whether it should be always changed, whenever anything better
occurs?

(3) Whether it is abolished by custom, and whether custom obtains the
force of law?

(4) Whether the application of human law should be changed by
dispensation of those in authority?
"
97,QUESTION 98,OF THE OLD LAW,In Six Articles,"In due sequence we must now consider the Old Law; and (1) The Law
itself; (2) Its precepts. Under the first head there are six points
of inquiry:

(1) Whether the Old Law was good?

(2) Whether it was from God?

(3) Whether it came from Him through the angels?

(4) Whether it was given to all?

(5) Whether it was binding on all?

(6) Whether it was given at a suitable time?
"
98,QUESTION 99,OF THE PRECEPTS OF THE OLD LAW,In Six Articles,"We must now consider the precepts of the Old Law; and (1) how they
are distinguished from one another; (2) each kind of precept. Under
the first head there are six points of inquiry:

(1) Whether the Old Law contains several precepts or only one?

(2) Whether the Old Law contains any moral precepts?

(3) Whether it contains ceremonial precepts in addition to the moral
precepts?

(4) Whether besides these it contains judicial precepts?

(5) Whether it contains any others besides these?

(6) How the Old Law induced men to keep its precepts.
"
99,QUESTION 100,OF THE MORAL PRECEPTS OF THE OLD LAW,In Twelve Articles,"We must now consider each kind of precept of the Old Law: and (1) the
moral precepts, (2) the ceremonial precepts, (3) the judicial
precepts. Under the first head there are twelve points of inquiry:

(1) Whether all the moral precepts of the Old Law belong to the law
of nature?

(2) Whether the moral precepts of the Old Law are about the acts of
all the virtues?

(3) Whether all the moral precepts of the Old Law are reducible to
the ten precepts of the decalogue?

(4) How the precepts of the decalogue are distinguished from one
another?

(5) Their number;

(6) Their order;

(7) The manner in which they were given;

(8) Whether they are dispensable?

(9) Whether the mode of observing a virtue comes under the precept
of the Law?

(10) Whether the mode of charity comes under the precept?

(11) The distinction of other moral precepts;

(12) Whether the moral precepts of the Old Law justified man?
"
100,QUESTION 101,OF THE CEREMONIAL PRECEPTS IN THEMSELVES,In Four Articles,"We must now consider the ceremonial precepts: and first we must
consider them in themselves; secondly, their cause; thirdly, their
duration. Under the first head there are four points of inquiry:

(1) The nature of the ceremonial precepts;

(2) Whether they are figurative?

(3) Whether there should have been many of them?

(4) Of their various kinds.
"
101,QUESTION 102,OF THE CAUSES OF THE CEREMONIAL PRECEPTS,In Six Articles,"We must now consider the causes of the ceremonial precepts: under
which head there are six points of inquiry:

(1) Whether there was any cause for the ceremonial precepts?

(2) Whether the cause of the ceremonial precepts was literal or
figurative?

(3) The causes of the sacrifices;

(4) The causes of the sacrifices;

(5) The causes of the sacred things;

(6) The causes of the observances.
"
102,QUESTION 103,OF THE DURATION OF THE CEREMONIAL PRECEPTS,In Four Articles,"We must now consider the duration of the ceremonial precepts: under
which head there are four points of inquiry:

(1) Whether the ceremonial precepts were in existence before the Law?

(2) Whether at the time of the Law the ceremonies of the Old Law had
any power of justification?

(3) Whether they ceased at the coming of Christ?

(4) Whether it is a mortal sin to observe them after the coming of
Christ?
"
103,QUESTION 104,OF THE JUDICIAL PRECEPTS,In Four Articles,"We must now consider the judicial precepts: and first of all we shall
consider them in general; in the second place we shall consider their
reasons. Under the first head there are four points of inquiry:

(1) What is meant by the judicial precepts?

(2) Whether they are figurative?

(3) Their duration;

(4) Their division.
"
104,QUESTION 105,OF THE REASON FOR THE JUDICIAL PRECEPTS,In Four Articles,"We must now consider the reason for the judicial precepts: under
which head there are four points of inquiry:

(1) Concerning the reason for the judicial precepts relating to the
rulers;

(2) Concerning the fellowship of one man with another;

(3) Concerning matters relating to foreigners;

(4) Concerning things relating to domestic matters.
"
105,QUESTION 106,"OF THE LAW OF THE GOSPEL, CALLED THE NEW LAW, CONSIDERED IN ITSELF",In Four Articles,"In proper sequence we have to consider now the Law of the Gospel
which is called the New Law: and in the first place we must consider
it in itself; secondly, in comparison with the Old Law; thirdly, we
shall treat of those things that are contained in the New Law. Under
the first head there are four points of inquiry:

(1) What kind of law is it? i.e. Is it a written law or is it
instilled in the heart?

(2) Of its efficacy, i.e. does it justify?

(3) Of its beginning: should it have been given at the beginning of
the world?

(4) Of its end: i.e. whether it will last until the end, or will
another law take its place?
"
106,QUESTION 107,OF THE NEW LAW AS COMPARED WITH THE OLD,In Four Articles,"We must now consider the New Law as compared with the Old: under
which head there are four points of inquiry:

(1) Whether the New Law is distinct from the Old Law?

(2) Whether the New Law fulfils the Old?

(3) Whether the New Law is contained in the Old?

(4) Which is the more burdensome, the New or the Old Law?
"
107,QUESTION 108,OF THOSE THINGS THAT ARE CONTAINED IN THE NEW LAW,In Four Articles,"We must now consider those things that are contained in the New Law:
under which head there are four points of inquiry:

(1) Whether the New Law ought to prescribe or to forbid any outward
works?

(2) Whether the New Law makes sufficient provision in prescribing
and forbidding external acts?

(3) Whether in the matter of internal acts it directs man
sufficiently?

(4) Whether it fittingly adds counsels to precepts?
"
108,QUESTION 109,OF THE NECESSITY OF GRACE,In Ten Articles,"We must now consider the exterior principle of human acts, i.e. God,
in so far as, through grace, we are helped by Him to do right: and,
first, we must consider the grace of God; secondly, its cause;
thirdly, its effects.

The first point of consideration will be threefold: for we shall
consider (1) The necessity of grace; (2) grace itself, as to its
essence; (3) its division.

Under the first head there are ten points of inquiry:

(1) Whether without grace man can know anything?

(2) Whether without God's grace man can do or wish any good?

(3) Whether without grace man can love God above all things?

(4) Whether without grace man can keep the commandments of the Law?

(5) Whether without grace he can merit eternal life?

(6) Whether without grace man can prepare himself for grace?

(7) Whether without grace he can rise from sin?

(8) Whether without grace man can avoid sin?

(9) Whether man having received grace can do good and avoid sin
without any further Divine help?

(10) Whether he can of himself persevere in good?
"
109,QUESTION 110,OF THE GRACE OF GOD AS REGARDS ITS ESSENCE,In Four Articles,"We must now consider the grace of God as regards its essence; and
under this head there are four points of inquiry:

(1) Whether grace implies something in the soul?

(2) Whether grace is a quality?

(3) Whether grace differs from infused virtue?

(4) Of the subject of grace.
"
110,QUESTION 111,OF THE DIVISION OF GRACE,In Five Articles,"We must now consider the division of grace; under which head there
are five points of inquiry:

(1) Whether grace is fittingly divided into gratuitous grace and
sanctifying grace?

(2) Of the division into operating and cooperating grace;

(3) Of the division of it into prevenient and subsequent grace;

(4) Of the division of gratuitous grace;

(5) Of the comparison between sanctifying and gratuitous grace.
"
111,QUESTION 112,OF THE CAUSE OF GRACE,In Five Articles,"We must now consider the cause of grace; and under this head there
are five points of inquiry:

(1) Whether God alone is the efficient cause of grace?

(2) Whether any disposition towards grace is needed on the part of
the recipient, by an act of free-will?

(3) Whether such a disposition can make grace follow of necessity?

(4) Whether grace is equal in all?

(5) Whether anyone may know that he has grace?
"
112,QUESTION 113,OF THE EFFECTS OF GRACE,In Ten Articles,"We have now to consider the effect of grace; (1) the justification of
the ungodly, which is the effect of operating grace; and (2) merit,
which is the effect of cooperating grace. Under the first head there
are ten points of inquiry:

(1) What is the justification of the ungodly?

(2) Whether grace is required for it?

(3) Whether any movement of the free-will is required?

(4) Whether a movement of faith is required?

(5) Whether a movement of the free-will against sin is required?

(6) Whether the remission of sins is to be reckoned with the
foregoing?

(7) Whether the justification of the ungodly is a work of time or is
sudden?

(8) Of the natural order of the things concurring to justification;

(9) Whether the justification of the ungodly is God's greatest work?

(10) Whether the justification of the ungodly is miraculous?
"
113,QUESTION 114,OF MERIT,In Ten Articles,"We must now consider merit, which is the effect of cooperating grace;
and under this head there are ten points of inquiry:

(1) Whether a man can merit anything from God?

(2) Whether without grace anyone can merit eternal life?

(3) Whether anyone with grace may merit eternal life condignly?

(4) Whether it is chiefly through the instrumentality of charity that
grace is the principle of merit?

(5) Whether a man may merit the first grace for himself?

(6) Whether he may merit it for someone else?

(7) Whether anyone can merit restoration after sin?

(8) Whether he can merit for himself an increase of grace or charity?

(9) Whether he can merit final perseverance?

(10) Whether temporal goods fall under merit?
"
