,question_number,question_text,question_subtext,body_text
62,QUESTION 63,THE MALICE OF THE ANGELS WITH REGARD TO SIN,In Nine Articles,"In the next place we must consider how angels became evil: first of
all with regard to the evil of fault; and secondly, as to the evil
of punishment. Under the first heading there are nine points for
consideration:

(1) Can there be evil of fault in the angels?

(2) What kind of sins can be in them?

(3) What did the angel seek in sinning?

(4) Supposing that some became evil by a sin of their own choosing,
are any of them naturally evil?

(5) Supposing that it is not so, could any one of them become evil
in the first instant of his creation by an act of his own will?

(6) Supposing that he did not, was there any interval between his
creation and fall?

(7) Was the highest of them who fell, absolutely the highest among
the angels?

(8) Was the sin of the foremost angel the cause of the others
sinning?

(9) Did as many sin as remained steadfast?
"
63,QUESTION 64,THE PUNISHMENT OF THE DEMONS,In Four Articles,"It now remains as a sequel to deal with the punishment of the demons;
under which heading there are four points of inquiry:

(1) Of their darkness of intellect;

(2) Of their obstinacy of will;

(3) Of their grief;

(4) Of their place of punishment.
"
64,QUESTION 65,THE WORK OF CREATION OF CORPOREAL CREATURES,In Four Articles,"From the consideration of spiritual creatures we proceed to that of
corporeal creatures, in the production of which, as Holy Scripture
makes mention, three works are found, namely, the work of creation, as
given in the words, ""In the beginning God created heaven and earth"";
the work of distinction as given in the words, ""He divided the light
from the darkness, and the waters that are above the firmament from
the waters that are under the firmament""; and the work of adornment,
expressed thus, ""Let there be lights in the firmament.""

First, then, we must consider the work of creation; secondly, the
work of distinction; and thirdly, the work of adornment. Under the
first head there are four points of inquiry:

(1) Whether corporeal creatures are from God?

(2) Whether they were created on account of God's goodness?

(3) Whether they were created by God through the medium of the
angels?

(4) Whether the forms of bodies are from the angels or immediately
from God.
"
65,QUESTION 66,ON THE ORDER OF CREATION TOWARDS DISTINCTION,In Four Articles,"We must next consider the work of distinction; first, the ordering
of creation towards distinction; secondly, the distinction itself.
Under the first head there are four points of inquiry:

(1) Whether formlessness of created matter preceded in time its
formation?

(2) Whether the matter of all corporeal things is the same?

(3) Whether the empyrean heaven was created contemporaneously with
formless matter?

(4) Whether time was created simultaneously with it?
"
66,QUESTION 67,ON THE WORK OF DISTINCTION IN ITSELF,In Four Articles,"We must consider next the work of distinction in itself. First, the
work of the first day; secondly, the work of the second day; thirdly
the work of the third day.

Under the first head there are four points of inquiry:

(1) Whether the word light is used in its proper sense in speaking
of spiritual things?

(2) Whether light, in corporeal things, is itself corporeal?

(3) Whether light is a quality?

(4) Whether light was fittingly made on the first day?
"
67,QUESTION 68,ON THE WORK OF THE SECOND DAY,In Four Articles,"We must next consider the work of the second day. Under this head
there are four points of inquiry:

(1) Whether the firmament was made on the second day?

(2) Whether there are waters above the firmament?

(3) Whether the firmament divides waters from waters?

(4) Whether there is more than one heaven?
"
68,QUESTION 69,ON THE WORK OF THE THIRD DAY,In Two Articles,"We next consider the work of the third day. Under this head there are
two points of inquiry:

(1) About the gathering together of the waters.

(2) About the production of plants.
"
69,QUESTION 70,"OF THE WORK OF ADORNMENT, AS REGARDS THE FOURTH DAY",In Three Articles,"We must next consider the work of adornment, first as to each day by
itself, secondly as to all seven days in general.

In the first place, then, we consider the work of the fourth day,
secondly, that of the fifth day, thirdly, that of the sixth day, and
fourthly, such matters as belong to the seventh day.

Under the first head there are three points of inquiry:

(1) As to the production of the lights;

(2) As to the end of their production;

(3) Whether they are living beings?
"
70,QUESTION 71,ON THE WORK OF THE FIFTH DAY,In One Article,"We must next consider the work of the fifth day.

Objection 1: It would seem that this work is not fittingly described.
For the waters produce that which the power of water suffices to
produce. But the power of water does not suffice for the production
of every kind of fishes and birds since we find that many of them are
generated from seed. Therefore the words, ""Let the waters bring forth
the creeping creature having life, and the fowl that may fly over the
earth,"" do not fittingly describe this work.

Obj. 2: Further, fishes and birds are not produced from water only,
but earth seems to predominate over water in their composition, as is
shown by the fact that their bodies tend naturally to the earth and
rest upon it. It is not, then, fittingly said that fishes and birds
are produced from water.

Obj. 3: Further, fishes move in the waters, and birds in the air. If,
then, fishes are produced from the waters, birds ought to be produced
from the air, and not from the waters.

Obj. 4: Further, not all fishes creep through the waters, for some,
as seals, have feet and walk on land. Therefore the production of
fishes is not sufficiently described by the words, ""Let the waters
bring forth the creeping creature having life.""

Obj. 5: Further, land animals are more perfect than birds and fishes
which appears from the fact that they have more distinct limbs, and
generation of a higher order. For they bring forth living beings,
whereas birds and fishes bring forth eggs. But the more perfect has
precedence in the order of nature. Therefore fishes and birds ought
not to have been produced on the fifth day, before land animals.

_On the contrary,_ Suffices the authority of Scripture.

_I answer that,_ As said above, (Q. 70, A. 1), the order of the work
of adornment corresponds to the order of the work of distinction.
Hence, as among the three days assigned to the work of distinction,
the middle, or second, day is devoted to the work of distinction of
water, which is the intermediate body, so in the three days of the
work of adornment, the middle day, which is the fifth, is assigned to
the adornment of the intermediate body, by the production of birds
and fishes. As, then, Moses makes mention of the lights and the light
on the fourth day, to show that the fourth day corresponds to the
first day on which he had said that the light was made, so on this
fifth day he mentions the waters and the firmament of heaven to show
that the fifth day corresponds to the second. It must, however, be
observed that Augustine differs from other writers in his opinion
about the production of fishes and birds, as he differs about the
production of plants. For while others say that fishes and birds were
produced on the fifth day actually, he holds that the nature of the
waters produced them on that day potentially.

Reply Obj. 1: It was laid down by Avicenna that animals of all kinds
can be generated by various minglings of the elements, and naturally,
without any kind of seed. This, however, seems repugnant to the fact
that nature produces its effects by determinate means, and
consequently, those things that are naturally generated from seed
cannot be generated naturally in any other way. It ought, then,
rather to be said that in the natural generation of all animals that
are generated from seed, the active principle lies in the formative
power of the seed, but that in the case of animals generated from
putrefaction, the formative power of is the influence of the heavenly
bodies. The material principle, however, in the generation of either
kind of animals, is either some element, or something compounded of
the elements. But at the first beginning of the world the active
principle was the Word of God, which produced animals from material
elements, either in act, as some holy writers say, or virtually, as
Augustine teaches. Not as though the power possessed by water or
earth of producing all animals resides in the earth and the water
themselves, as Avicenna held, but in the power originally given to
the elements of producing them from elemental matter by the power of
seed or the influence of the stars.

Reply Obj. 2: The bodies of birds and fishes may be considered from
two points of view. If considered in themselves, it will be evident
that the earthly element must predominate, since the element that is
least active, namely, the earth, must be the most abundant in
quantity in order that the mingling may be duly tempered in the body
of the animal. But if considered as by nature constituted to move
with certain specific motions, thus they have some special affinity
with the bodies in which they move; and hence the words in which
their generation is described.

Reply Obj. 3: The air, as not being so apparent to the senses, is not
enumerated by itself, but with other things: partly with the water,
because the lower region of the air is thickened by watery
exhalations; partly with the heaven as to the higher region. But
birds move in the lower part of the air, and so are said to fly
""beneath the firmament,"" even if the firmament be taken to mean the
region of clouds. Hence the production of birds is ascribed to the
water.

Reply Obj. 4: Nature passes from one extreme to another through the
medium; and therefore there are creatures of intermediate type
between the animals of the air and those of the water, having
something in common with both; and they are reckoned as belonging to
that class to which they are most allied, through the characters
possessed in common with that class, rather than with the other. But
in order to include among fishes all such intermediate forms as have
special characters like to theirs, the words, ""Let the waters bring
forth the creeping creature having life,"" are followed by these: ""God
created great whales,"" etc.

Reply Obj. 5: The order in which the production of these animals is
given has reference to the order of those bodies which they are set
to adorn, rather than to the superiority of the animals themselves.
Moreover, in generation also the more perfect is reached through the
less perfect.
"
71,QUESTION 72,ON THE WORK OF THE SIXTH DAY,In One Article,"We must now consider the work of the sixth day.

Objection 1: It would seem that this work is not fittingly described.
For as birds and fishes have a living soul, so also have land animals.
But these animals are not themselves living souls. Therefore the
words, ""Let the earth bring forth the living creature,"" should rather
have been, ""Let the earth bring forth the living four-footed
creatures.""

Obj. 2: Further, a genus ought not to be opposed to its species. But
beasts and cattle are quadrupeds. Therefore quadrupeds ought not to
be enumerated as a class with beasts and cattle.

Obj. 3: Further, as animals belong to a determinate genus and
species, so also does man. But in the making of man nothing is said
of his genus and species, and therefore nothing ought to have been
said about them in the production of other animals, whereas it is
said ""according to its genus"" and ""in its species.""

Obj. 4: Further, land animals are more like man, whom God is recorded
to have blessed, than are birds and fishes. But as birds and fishes
are said to be blessed, this should have been said, with much more
reason, of the other animals as well.

Obj. 5: Further, certain animals are generated from putrefaction,
which is a kind of corruption. But corruption is repugnant to the
first founding of the world. Therefore such animals should not have
been produced at that time.

Obj. 6: Further, certain animals are poisonous, and injurious to man.
But there ought to have been nothing injurious to man before man
sinned. Therefore such animals ought not to have been made by God at
all, since He is the Author of good; or at least not until man had
sinned.

_On the contrary,_ Suffices the authority of Scripture.

_I answer that,_ As on the fifth day the intermediate body, namely, the
water, is adorned, and thus that day corresponds to the second day; so
the sixth day, on which the lowest body, or the earth, is adorned by
the production of land animals, corresponds to the third day. Hence
the earth is mentioned in both places. And here again Augustine says
(Gen. ad lit. v) that the production was potential, and other holy
writers that it was actual.

Reply Obj. 1: The different grades of life which are found in
different living creatures can be discovered from the various ways in
which Scripture speaks of them, as Basil says (Hom. viii in Hexaem.).
The life of plants, for instance, is very imperfect and difficult to
discern, and hence, in speaking of their production, nothing is said
of their life, but only their generation is mentioned, since only in
generation is a vital act observed in them. For the powers of
nutrition and growth are subordinate to the generative life, as will
be shown later on (Q. 78, A. 2). But amongst animals, those that
live on land are, generally speaking, more perfect than birds and
fishes, not because the fish is devoid of memory, as Basil upholds
(Hom. viii in Hexaem.) and Augustine rejects (Gen. ad lit. iii), but
because their limbs are more distinct and their generation of a higher
order, (yet some imperfect animals, such as bees and ants, are more
intelligent in certain ways). Scripture, therefore, does not call
fishes ""living creatures,"" but ""creeping creatures having life"";
whereas it does call land animals ""living creatures"" on account of
their more perfect life, and seems to imply that fishes are merely
bodies having in them something of a soul, whilst land animals, from
the higher perfection of their life, are, as it were, living souls
with bodies subject to them. But the life of man, as being the most
perfect grade, is not said to be produced, like the life of other
animals, by earth or water, but immediately by God.

Reply Obj. 2: By ""cattle,"" domestic animals are signified, which in
any way are of service to man: but by ""beasts,"" wild animals such as
bears and lions are designated. By ""creeping things"" those animals
are meant which either have no feet and cannot rise from the earth,
as serpents, or those whose feet are too short to lift them far from
the ground, as the lizard and tortoise. But since certain animals, as
deer and goats, seem to fall under none of these classes, the word
""quadrupeds"" is added. Or perhaps the word ""quadruped"" is used first
as being the genus, to which the others are added as species, for
even some reptiles, such as lizards and tortoises, are four-footed.

Reply Obj. 3: In other animals, and in plants, mention is made of
genus and species, to denote the generation of like from like. But it
was unnecessary to do so in the case of man, as what had already been
said of other creatures might be understood of him. Again, animals
and plants may be said to be produced according to their kinds, to
signify their remoteness from the Divine image and likeness, whereas
man is said to be made ""to the image and likeness of God.""

Reply Obj. 4: The blessing of God gives power to multiply by
generation, and, having been mentioned in the preceding account of
the making of birds and fishes, could be understood of the beasts of
the earth, without requiring to be repeated. The blessing, however,
is repeated in the case of man, since in him generation of children
has a special relation to the number of the elect [*Cf. Augustine,
Gen. ad lit. iii, 12], and to prevent anyone from saying that there
was any sin whatever in the act of begetting children. As to plants,
since they experience neither desire of propagation, nor sensation
in generating, they are deemed unworthy of a formal blessing.

Reply Obj. 5: Since the generation of one thing is the corruption of
another, it was not incompatible with the first formation of things,
that from the corruption of the less perfect the more perfect should
be generated. Hence animals generated from the corruption of
inanimate things, or of plants, may have been generated then. But
those generated from corruption of animals could not have been
produced then otherwise than potentially.

Reply Obj. 6: In the words of Augustine (Super. Gen. contr. Manich.
i): ""If an unskilled person enters the workshop of an artificer he
sees in it many appliances of which he does not understand the use,
and which, if he is a foolish fellow, he considers unnecessary.
Moreover, should he carelessly fall into the fire, or wound himself
with a sharp-edged tool, he is under the impression that many of the
things there are hurtful; whereas the craftsman, knowing their use,
laughs at his folly. And thus some people presume to find fault with
many things in this world, through not seeing the reasons for their
existence. For though not required for the furnishing of our house,
these things are necessary for the perfection of the universe."" And,
since man before he sinned would have used the things of this world
conformably to the order designed, poisonous animals would not have
injured him.
"
72,QUESTION 73,ON THE THINGS THAT BELONG TO THE SEVENTH DAY,In Three Articles,"We must next consider the things that belong to the seventh day.
Under this head there are three points of inquiry:

(1) About the completion of the works;

(2) About the resting of God;

(3) About the blessing and sanctifying of this day.
"
73,QUESTION 74,ON ALL THE SEVEN DAYS IN COMMON,In Three Articles,"We next consider all the seven days in common: and there are three
points of inquiry:

(1) As to the sufficiency of these days;

(2) Whether they are all one day, or more than one?

(3) As to certain modes of speaking which Scripture uses in narrating
the works of the six days.
"
74,QUESTION 75,"OF MAN WHO IS COMPOSED OF A SPIRITUAL AND A CORPOREAL SUBSTANCE: AND IN THE FIRST PLACE, CONCERNING WHAT BELONGS TO THE ESSENCE OF THE SOUL",In Seven Articles,"Having treated of the spiritual and of the corporeal creature, we now
proceed to treat of man, who is composed of a spiritual and corporeal
substance. We shall treat first of the nature of man, and secondly of
his origin. Now the theologian considers the nature of man in relation
to the soul; but not in relation to the body, except in so far as the
body has relation to the soul. Hence the first object of our
consideration will be the soul. And since Dionysius (Ang. Hier. xi)
says that three things are to be found in spiritual
substances--essence, power, and operation--we shall treat first of
what belongs to the essence of the soul; secondly, of what belongs to
its power; thirdly, of what belongs to its operation.

Concerning the first, two points have to be considered; the first is
the nature of the soul considered in itself; the second is the union
of the soul with the body. Under the first head there are seven
points of inquiry.

(1) Whether the soul is a body?

(2) Whether the human soul is a subsistence?

(3) Whether the souls of brute animals are subsistent?

(4) Whether the soul is man, or is man composed of soul and body?

(5) Whether the soul is composed of matter and form?

(6) Whether the soul is incorruptible?

(7) Whether the soul is of the same species as an angel?
"
75,QUESTION 76,OF THE UNION OF BODY AND SOUL,In Eight Articles,"We now consider the union of the soul with the body; and concerning
this there are eight points of inquiry:

(1) Whether the intellectual principle is united to the body as its
form?

(2) Whether the intellectual principle is multiplied numerically
according to the number of bodies; or is there one intelligence for
all men?

(3) Whether in the body the form of which is an intellectual
principle, there is some other soul?

(4) Whether in the body there is any other substantial form?

(5) Of the qualities required in the body of which the intellectual
principle is the form?

(6) Whether it be united to such a body by means of another body?

(7) Whether by means of an accident?

(8) Whether the soul is wholly in each part of the body?
"
76,QUESTION 77,OF THOSE THINGS WHICH BELONG TO THE POWERS OF THE SOUL IN GENERAL,In Eight Articles,"We proceed to consider those things which belong to the powers of the
soul; first, in general, secondly, in particular. Under the first head
there are eight points of inquiry:

(1) Whether the essence of the soul is its power?

(2) Whether there is one power of the soul, or several?

(3) How the powers of the soul are distinguished from one another?

(4) Of the orders of the powers, one to another;

(5) Whether the powers of the soul are in it as in their subject?

(6) Whether the powers flow from the essence of the soul?

(7) Whether one power rises from another?

(8) Whether all the powers of the soul remain in the soul after death?
"
77,QUESTION 78,OF THE SPECIFIC POWERS OF THE SOUL,In Four Articles,"We next treat of the powers of the soul specifically. The theologian,
however, has only to inquire specifically concerning the intellectual
and appetitive powers, in which the virtues reside. And since the
knowledge of these powers depends to a certain extent on the other
powers, our consideration of the powers of the soul taken
specifically will be divided into three parts: first, we shall
consider those powers which are a preamble to the intellect;
secondly, the intellectual powers; thirdly, the appetitive powers.

Under the first head there are four points of inquiry:

(1) The powers of the soul considered generally;

(2) The various species of the vegetative part;

(3) The exterior senses;

(4) The interior senses.
"
78,QUESTION 79,OF THE INTELLECTUAL POWERS,In Thirteen Articles,"The next question concerns the intellectual powers, under which head
there are thirteen points of inquiry:

(1) Whether the intellect is a power of the soul, or its essence?

(2) If it be a power, whether it is a passive power?

(3) If it is a passive power, whether there is an active intellect?

(4) Whether it is something in the soul?

(5) Whether the active intellect is one in all?

(6) Whether memory is in the intellect?

(7) Whether the memory be distinct from the intellect?

(8) Whether the reason is a distinct power from the intellect?

(9) Whether the superior and inferior reason are distinct powers?

(10) Whether the intelligence is distinct from the intellect?

(11) Whether the speculative and practical intellect are distinct
powers?

(12) Whether ""synderesis"" is a power of the intellectual part?

(13) Whether the conscience is a power of the intellectual part?
"
79,QUESTION 80,OF THE APPETITIVE POWERS IN GENERAL,In Two Articles,"Next we consider the appetitive powers, concerning which there are
four heads of consideration: first, the appetitive powers in general;
second, sensuality; third, the will; fourth, the free-will. Under the
first there are two points of inquiry:

(1) Whether the appetite should be considered a special power of the
soul?

(2) Whether the appetite should be divided into intellectual and
sensitive as distinct powers?
"
80,QUESTION 81,OF THE POWER OF SENSUALITY,In Three Articles,"Next we have to consider the power of sensuality, concerning which
there are three points of inquiry:

(1) Whether sensuality is only an appetitive power?

(2) Whether it is divided into irascible and concupiscible as distinct
powers?

(3) Whether the irascible and concupiscible powers obey reason?
"
81,QUESTION 82,OF THE WILL,In Five Articles,"We next consider the will. Under this head there are five points of
inquiry:

(1) Whether the will desires something of necessity?

(2) Whether it desires everything of necessity?

(3) Whether it is a higher power than the intellect?

(4) Whether the will moves the intellect?

(5) Whether the will is divided into irascible and concupiscible?
"
82,QUESTION 83,OF FREE-WILL,In Four Articles,"We now inquire concerning free-will. Under this head there are four
points of inquiry:

(1) Whether man has free-will?

(2) What is free-will--a power, an act, or a habit?

(3) If it is a power, is it appetitive or cognitive?

(4) If it is appetitive, is it the same power as the will, or
distinct?
"
83,QUESTION 84,HOW THE SOUL WHILE UNITED TO THE BODY UNDERSTANDS CORPOREAL THINGS BENEATH IT,In Eight Articles,"We now have to consider the acts of the soul in regard to the
intellectual and the appetitive powers: for the other powers of the
soul do not come directly under the consideration of the theologian.
Furthermore, the acts of the appetitive part of the soul come under
the consideration of the science of morals; wherefore we shall treat
of them in the second part of this work, to which the consideration
of moral matters belongs. But of the acts of the intellectual part
we shall treat now.

In treating of these acts we shall proceed in the following order:
First, we shall inquire how the soul understands when united to the
body; secondly, how it understands when separated therefrom.

The former of these inquiries will be threefold:

(1) How the soul understands bodies which are beneath it;

(2) How it understands itself and things contained in itself;

(3) How it understands immaterial substances, which are above it.

In treating of the knowledge of corporeal things there are three
points to be considered:

(1) Through what does the soul know them?

(2) How and in what order does it know them?

(3) What does it know in them?

Under the first head there are eight points of inquiry:

(1) Whether the soul knows bodies through the intellect?

(2) Whether it understands them through its essence, or through any
species?

(3) If through some species, whether the species of all things
intelligible are naturally innate in the soul?

(4) Whether these species are derived by the soul from certain
separate immaterial forms?

(5) Whether our soul sees in the eternal ideas all that it
understands?

(6) Whether it acquires intellectual knowledge from the senses?

(7) Whether the intellect can, through the species of which it is
possessed, actually understand, without turning to the phantasms?

(8) Whether the judgment of the intellect is hindered by an obstacle
in the sensitive powers?
"
84,QUESTION 85,OF THE MODE AND ORDER OF UNDERSTANDING,In Eight Articles,"We come now to consider the mode and order of understanding. Under
this head there are eight points of inquiry:

(1) Whether our intellect understands by abstracting the species from
the phantasms?

(2) Whether the intelligible species abstracted from the phantasms are
what our intellect understands, or that whereby it understands?

(3) Whether our intellect naturally first understands the more
universal?

(4) Whether our intellect can know many things at the same time?

(5) Whether our intellect understands by the process of composition
and division?

(6) Whether the intellect can err?

(7) Whether one intellect can understand better than another?

(8) Whether our intellect understands the indivisible before the
divisible?
"
85,QUESTION 86,WHAT OUR INTELLECT KNOWS IN MATERIAL THINGS,In Four Articles,"We now have to consider what our intellect knows in material things.
Under this head there are four points of inquiry:

(1) Whether it knows singulars?

(2) Whether it knows the infinite?

(3) Whether it knows contingent things?

(4) Whether it knows future things?
"
86,QUESTION 87,HOW THE INTELLECTUAL SOUL KNOWS ITSELF AND ALL WITHIN ITSELF,In Four Articles,"We have now to consider how the intellectual soul knows itself and
all within itself. Under this head there are four points of inquiry:

(1) Whether the soul knows itself by its own essence?

(2) Whether it knows its own habits?

(3) How does the intellect know its own act?

(4) How does it know the act of the will?
"
87,QUESTION 88,HOW THE HUMAN SOUL KNOWS WHAT IS ABOVE ITSELF,In Three Articles,"We must now consider how the human soul knows what is above itself,
viz. immaterial substances. Under this head there are three points of
inquiry:

(1) Whether the human soul in the present state of life can understand
the immaterial substances called angels, in themselves?

(2) Whether it can arrive at the knowledge thereof by the knowledge of
material things?

(3) Whether God is the first object of our knowledge?
"
88,QUESTION 89,OF THE KNOWLEDGE OF THE SEPARATED SOUL,In Eight Articles,"We must now consider the knowledge of the separated soul. Under this
head there are eight points of inquiry:

(1) Whether the soul separated from the body can understand?

(2) Whether it understands separate substances?

(3) Whether it understands all natural things?

(4) Whether it understands individuals and singulars?

(5) Whether the habits of knowledge acquired in this life remain?

(6) Whether the soul can use the habit of knowledge here acquired?

(7) Whether local distance impedes the separated soul's knowledge?

(8) Whether souls separated from the body know what happens here?
"
89,QUESTION 90,OF THE FIRST PRODUCTION OF MAN'S SOUL,In Four Articles,"After the foregoing we must consider the first production of man,
concerning which there are four subjects of treatment:

(1) the production of man himself;

(2) the end of this production;

(3) the state and condition of the first man;

(4) the place of his abode.

Concerning the production of man, there are three things to be
considered:

(1) the production of man's soul;

(2) the production of man's body;

(3) the production of the woman.

Under the first head there are four points of inquiry:

(1) Whether man's soul was something made, or was of the Divine
substance?

(2) Whether, if made, it was created?

(3) Whether it was made by angelic instrumentality?

(4) Whether it was made before the body?
"
90,QUESTION 91,THE PRODUCTION OF THE FIRST MAN'S BODY,FOUR ARTICLES,"We have now to consider the production of the first man's body. Under
this head there are four points of inquiry:

(1) The matter from which it was produced;

(2) The author by whom it was produced;

(3) The disposition it received in its production;

(4) The mode and order of its production.
"
91,QUESTION 92,THE PRODUCTION OF THE WOMAN,In Four Articles,"We must next consider the production of the woman. Under this head
there are four points of inquiry:

(1) Whether the woman should have been made in that first production
of things?

(2) Whether the woman should have been made from man?

(3) Whether of man's rib?

(4) Whether the woman was made immediately by God?
"
92,QUESTION 93,THE END OR TERM OF THE PRODUCTION OF MAN,In Nine Articles,"We now treat of the end or term of man's production, inasmuch as he is
said to be made ""to the image and likeness of God."" There are under
this head nine points of inquiry:

(1) Whether the image of God is in man?

(2) Whether the image of God is in irrational creatures?

(3) Whether the image of God is in the angels more than in man?

(4) Whether the image of God is in every man?

(5) Whether the image of God is in man by comparison with the Essence,
or with all the Divine Persons, or with one of them?

(6) Whether the image of God is in man, as to his mind only?

(7) Whether the image of God is in man's power or in his habits and
acts?

(8) Whether the image of God is in man by comparison with every
object?

(9) Of the difference between ""image"" and ""likeness.""
"
93,QUESTION 94,OF THE STATE AND CONDITION OF THE FIRST MAN AS REGARDS HIS INTELLECT,In Four Articles,"We next consider the state or condition of the first man; first, as
regards his soul; secondly, as regards his body. Concerning the first
there are two things to be considered:

(1) The condition of man as to his intellect;

(2) the condition of man as to his will.

Under the first head there are four points of inquiry:

(1) Whether the first man saw the Essence of God?

(2) Whether he could see the separate substances, that is, the angels?

(3) Whether he possessed all knowledge?

(4) Whether he could err or be deceived?
"
94,QUESTION 95,"OF THINGS PERTAINING TO THE FIRST MAN'S WILL--NAMELY, GRACE AND RIGHTEOUSNESS",In Four Articles,"We next consider what belongs to the will of the first man; concerning
which there are two points of treatment:

(1) the grace and righteousness of the first man;

(2) the use of righteousness as regards his dominion over other things.

Under the first head there are four points of inquiry:

(1) Whether the first man was created in grace?

(2) Whether in the state of innocence he had passions of the soul?

(3) Whether he had all virtues?

(4) Whether what he did would have been as meritorious as now?
"
95,QUESTION 96,OF THE MASTERSHIP BELONGING TO MAN IN THE STATE OF INNOCENCE,In Four Articles,"We next consider the mastership which belonged to man in the state of
innocence. Under this head there are four points of inquiry:

(1) Whether man in the state of innocence was master over the animals?

(2) Whether he was master over all creatures?

(3) Whether in the state of innocence all men were equal?

(4) Whether in that state man would have been master over men?
"
96,QUESTION 97,OF THE PRESERVATION OF THE INDIVIDUAL IN THE PRIMITIVE STATE,In Four Articles,"We next consider what belongs to the bodily state of the first man:
first, as regards the preservation of the individual; secondly, as
regards the preservation of the species.

Under the first head there are four points of inquiry:

(1) Whether man in the state of innocence was immortal?

(2) Whether he was impassible?

(3) Whether he stood in need of food?

(4) Whether he would have obtained immortality by the tree of life?
"
97,QUESTION 98,OF THE PRESERVATION OF THE SPECIES,In Two Articles,"We next consider what belongs to the preservation of the species; and,
first, of generation; secondly, of the state of the offspring. Under
the first head there are two points of inquiry:

(1) Whether in the state of innocence there would have been
generation?

(2) Whether generation would have been through coition?
"
98,QUESTION 99,OF THE CONDITION OF THE OFFSPRING AS TO THE BODY,In Two Articles,"We must now consider the condition of the offspring--first, as
regards the body; secondly, as regards virtue; thirdly, in knowledge.
Under the first head there are two points of inquiry:

(1) Whether in the state of innocence children would have had full
powers of the body immediately after birth?

(2) Whether all infants would have been of the male sex?
"
99,QUESTION 100,OF THE CONDITION OF THE OFFSPRING AS REGARDS RIGHTEOUSNESS,In Two Articles,"We now have to consider the condition of the offspring as to
righteousness. Under this head there are two points of inquiry:

(1) Whether men would have been born in a state of righteousness?

(2) Whether they would have been born confirmed in righteousness?
"
100,QUESTION 101,OF THE CONDITION OF THE OFFSPRING AS REGARDS KNOWLEDGE,In Two Articles,"We next consider the condition of the offspring as to knowledge.
Under this head there are two points of inquiry:

(1) Whether in the state of innocence children would have been born
with perfect knowledge?

(2) Whether they would have had perfect use of reason at the moment
of birth?
"
101,QUESTION 102,"OF MAN'S ABODE, WHICH IS PARADISE",In Four Articles,"We next consider man's abode, which is paradise. Under this head there
are four points of inquiry:

(1) Whether paradise is a corporeal place?

(2) Whether it is a place apt for human habitation?

(3) For what purpose was man placed in paradise?

(4) Whether he should have been created in paradise?
"
102,QUESTION 103,OF THE GOVERNMENT OF THINGS IN GENERAL,In Eight Articles,"Having considered the creation of things and their distinction, we
now consider in the third place the government thereof, and (1) the
government of things in general; (2) in particular, the effects of
this government. Under the first head there are eight points of
inquiry:

(1) Whether the world is governed by someone?

(2) What is the end of this government?

(3) Whether the world is governed by one?

(4) Of the effects of this government?

(5) Whether all things are subject to Divine government?

(6) Whether all things are immediately governed by God?

(7) Whether the Divine government is frustrated in anything?

(8) Whether anything is contrary to the Divine Providence?
"
103,QUESTION 104,THE SPECIAL EFFECTS OF THE DIVINE GOVERNMENT,In Four Articles,"We next consider the effects of the Divine government in particular;
concerning which four points of inquiry arise:

(1) Whether creatures need to be kept in existence by God?

(2) Whether they are immediately preserved by God?

(3) Whether God can reduce anything to nothingness?

(4) Whether anything is reduced to nothingness?
"
104,QUESTION 105,OF THE CHANGE OF CREATURES BY GOD,In Eight Articles,"We now consider the second effect of the Divine government, i.e. the
change of creatures; and first, the change of creatures by God;
secondly, the change of one creature by another.

Under the first head there are eight points of inquiry:

(1) Whether God can move immediately the matter to the form?

(2) Whether He can immediately move a body?

(3) Whether He can move the intellect?

(4) Whether He can move the will?

(5) Whether God works in every worker?

(6) Whether He can do anything outside the order imposed on things?

(7) Whether all that God does is miraculous?

(8) Of the diversity of miracles.
"
105,QUESTION 106,HOW ONE CREATURE MOVES ANOTHER,In Four Articles,"We next consider how one creature moves another. This consideration
will be threefold:

(1) How the angels move, who are purely spiritual creatures;

(2) How bodies move;

(3) How man moves, who is composed of a spiritual and a corporeal
nature.

Concerning the first point, there are three things to be considered:

(1) How an angel acts on an angel;

(2) How an angel acts on a corporeal nature;

(3) How an angel acts on man.

The first of these raises the question of the enlightenment and
speech of the angels; and of their mutual coordination, both of the
good and of the bad angels.

Concerning their enlightenment there are four points of inquiry:

(1) Whether one angel moves the intellect of another by enlightenment?

(2) Whether one angel moves the will of another?

(3) Whether an inferior angel can enlighten a superior angel?

(4) Whether a superior angel enlightens an inferior angel in all that
he knows himself?
"
106,QUESTION 107,THE SPEECH OF THE ANGELS,In Five Articles,"We next consider the speech of the angels. Here there are five points
of inquiry:

(1) Whether one angel speaks to another?

(2) Whether the inferior speaks to the superior?

(3) Whether an angel speaks to God?

(4) Whether the angelic speech is subject to local distance?

(5) Whether all the speech of one angel to another is known to all?
"
