,question_number,question_text,question_subtext,body_text
65,QUESTION 66,OF THEFT AND ROBBERY,In Nine Articles,"We must now consider the sins opposed to justice, whereby a man
injures his neighbor in his belongings; namely theft and robbery.

Under this head there are nine points of inquiry:

(1) Whether it is natural to man to possess external things?

(2) Whether it is lawful for a man to possess something as his own?

(3) Whether theft is the secret taking of another's property?

(4) Whether robbery is a species of sin distinct from theft?

(5) Whether every theft is a sin?

(6) Whether theft is a mortal sin?

(7) Whether it is lawful to thieve in a case of necessity?

(8) Whether every robbery is a mortal sin?

(9) Whether robbery is a more grievous sin than theft?
"
66,QUESTION 67,"OF THE INJUSTICE OF A JUDGE, IN JUDGING",In Four Articles,"We must now consider those vices opposed to commutative justice,
that consist in words injurious to our neighbors. We shall consider
(1) those which are connected with judicial proceedings, and
(2) injurious words uttered extra-judicially.

Under the first head five points occur for our consideration: (1) The
injustice of a judge in judging; (2) The injustice of the prosecutor
in accusing; (3) The injustice of the defendant in defending himself;
(4) The injustice of the witnesses in giving evidence; (5) The
injustice of the advocate in defending.

Under the first head there are four points of inquiry:

(1) Whether a man can justly judge one who is not his subject?

(2) Whether it is lawful for a judge, on account of the evidence, to
deliver judgment in opposition to the truth which is known to him?

(3) Whether a judge can justly sentence a man who is not accused?

(4) Whether he can justly remit the punishment?
"
67,QUESTION 68,OF MATTERS CONCERNING UNJUST ACCUSATION,In Four Articles,"We must now consider matters pertaining to unjust accusation. Under
this head there are four points of inquiry:

(1) Whether a man is bound to accuse?

(2) Whether the accusation should be made in writing?

(3) How is an accusation vitiated?

(4) How should those be punished who have accused a man wrongfully?
"
68,QUESTION 69,OF SINS COMMITTED AGAINST JUSTICE ON THE PART OF THE DEFENDANT,In Four Articles,"We must now consider those sins which are committed against justice
on the part of the defendant. Under this head there are four points
of inquiry:

(1) Whether it is a mortal sin to deny the truth which would lead to
one's condemnation?

(2) Whether it is lawful to defend oneself with calumnies?

(3) Whether it is lawful to escape condemnation by appealing?

(4) Whether it is lawful for one who has been condemned to defend
himself by violence if he be able to do so?
"
69,QUESTION 70,OF INJUSTICE WITH REGARD TO THE PERSON OF THE WITNESS,In Four Articles,"We must now consider injustice with regard to the person of the
witness. Under this head there are four points of inquiry:

(1) Whether a man is bound to give evidence?

(2) Whether the evidence of two or three witnesses suffices?

(3) Whether a man's evidence may be rejected without any fault on his
part?

(4) Whether it is a mortal sin to bear false witness?
"
70,QUESTION 71,OF INJUSTICE IN JUDGMENT ON THE PART OF COUNSEL,In Four Articles,"We must now consider the injustice which takes place in judgment on
the part of counsel, and under this head there are four points of
inquiry:

(1) Whether an advocate is bound to defend the suits of the poor?

(2) Whether certain persons should be prohibited from exercising the
office of advocate?

(3) Whether an advocate sins by defending an unjust cause?

(4) Whether he sins if he accept a fee for defending a suit?
"
71,QUESTION 72,OF REVILING,In Four Articles,"We must now consider injuries inflicted by words uttered
extrajudicially. We shall consider (1) reviling, (2) backbiting,
(3) tale bearing, (4) derision, (5) cursing.

Under the first head there are four points of inquiry:

(1) What is reviling?

(2) Whether every reviling is a mortal sin?

(3) Whether one ought to check revilers?

(4) Of the origin of reviling.
"
72,QUESTION 73,OF BACKBITING*,In Four Articles,"[*Or detraction]

We must now consider backbiting, under which head there are four
points of inquiry:

(1) What is backbiting?

(2) Whether it is a mortal sin?

(3) Of its comparison with other sins;

(4) Whether it is a sin to listen to backbiting?
"
73,QUESTION 74,OF TALE-BEARING,In Two Articles,"[*_Susurratio,_ i.e. whispering]

We must now consider tale-bearing: under which head there are two
points of inquiry:

(1) Whether tale-bearing is a sin distinct from backbiting?

(2) Which of the two is the more grievous?
"
74,QUESTION 75,OF DERISION,In Two Articles,"[*Or mockery]

We must now speak of derision, under which head there are two points
of inquiry:

(1) Whether derision is a special sin distinct from the other sins
whereby one's neighbor is injured by words?

(2) Whether derision is a mortal sin?
"
75,QUESTION 76,OF CURSING,In Four Articles,"We must now consider cursing. Under this head there are four points
of inquiry:

(1) Whether one may lawfully curse another?

(2) Whether one may lawfully curse an irrational creature?

(3) Whether cursing is a mortal sin?

(4) Of its comparison with other sins.
"
76,QUESTION 77,"OF CHEATING, WHICH IS COMMITTED IN BUYING AND SELLING",In Four Articles,"We must now consider those sins which relate to voluntary
commutations. First, we shall consider cheating, which is committed
in buying and selling: secondly, we shall consider usury, which
occurs in loans. In connection with the other voluntary commutations
no special kind of sin is to be found distinct from rapine and theft.

Under the first head there are four points of inquiry:

(1) Of unjust sales as regards the price; namely, whether it is
lawful to sell a thing for more than its worth?

(2) Of unjust sales on the part of the thing sold;

(3) Whether the seller is bound to reveal a fault in the thing sold?

(4) Whether it is lawful in trading to sell a thing at a higher price
than was paid for it?
"
77,QUESTION 78,OF THE SIN OF USURY,In Four Articles,"We must now consider the sin of usury, which is committed in loans:
and under this head there are four points of inquiry:

(1) Whether it is a sin to take money as a price for money lent,
which is to receive usury?

(2) Whether it is lawful to lend money for any other kind of
consideration, by way of payment for the loan?

(3) Whether a man is bound to restore just gains derived from money
taken in usury?

(4) Whether it is lawful to borrow money under a condition of usury?
"
78,QUESTION 79,OF THE QUASI-INTEGRAL PARTS OF JUSTICE,In Four Articles,"We must now consider the quasi-integral parts of justice, which are
_to do good,_ and _to decline from evil,_ and the opposite vices.
Under this head there are four points of inquiry:

(1) Whether these two are parts of justice?

(2) Whether transgression is a special sin?

(3) Whether omission is a special sin?

(4) Of the comparison between omission and transgression.
"
79,QUESTION 80,OF THE POTENTIAL PARTS OF JUSTICE,In One Article,"We must now consider the potential parts of justice, namely the
virtues annexed thereto; under which head there are two points of
consideration:

(1) What virtues are annexed to justice?

(2) The individual virtues annexed to justice.
"
80,QUESTION 81,OF RELIGION,In Eight Articles,"We must now consider each of the foregoing virtues, in so far as
our present scope demands. We shall consider (1) religion, (2) piety,
(3) observance, (4) gratitude, (5) revenge, (6) truth, (7) friendship,
(8) liberality, (9) _epieikeia_. Of the other virtues that have been
mentioned we have spoken partly in the treatise on charity, viz. of
concord and the like, and partly in this treatise on justice, for
instance, of right commutations and of innocence. Of legislative
justice we spoke in the treatise on prudence.

Religion offers a threefold consideration: (1) Religion considered in
itself; (2) its acts; (3) the opposite vices.

Under the first head there are eight points of inquiry:

(1) Whether religion regards only our relation to God?

(2) Whether religion is a virtue?

(3) Whether religion is one virtue?

(4) Whether religion is a special virtue?

(5) Whether religion is a theological virtue?

(6) Whether religion should be preferred to the other moral virtues?

(7) Whether religion has any external actions?

(8) Whether religion is the same as holiness?
"
81,QUESTION 82,OF DEVOTION,In Four Articles,"We must now consider the acts of religion. First, we shall consider
the interior acts, which, as stated above, are its principal acts;
secondly, we shall consider its exterior acts, which are secondary.
The interior acts of religion are seemingly devotion and prayer.
Accordingly we shall treat first of devotion, and afterwards of
prayer.

Under the first head there are four points of inquiry:

(1) Whether devotion is a special act?

(2) Whether it is an act of religion?

(3) Of the cause of devotion?

(4) Of its effect?
"
82,QUESTION 83,OF PRAYER,In Seventeen Articles,"We must now consider prayer, under which head there are seventeen
points of inquiry:

(1) Whether prayer is an act of the appetitive or of the cognitive
power?

(2) Whether it is fitting to pray to God?

(3) Whether prayer is an act of religion?

(4) Whether we ought to pray to God alone?

(5) Whether we ought to ask for something definite when we pray?

(6) Whether we ought to ask for temporal things when we pray?

(7) Whether we ought to pray for others?

(8) Whether we ought to pray for our enemies?

(9) Of the seven petitions of the Lord's Prayer;

(10) Whether prayer is proper to the rational creature?

(11) Whether the saints in heaven pray for us?

(12) Whether prayer should be vocal?

(13) Whether attention is requisite in prayer?

(14) Whether prayer should last a long time?

(15) Whether prayer is meritorious? [*Art. 16]

(16) Whether sinners impetrate anything from God by praying? [*Art.
15]

(17) of the different kinds of prayer.
"
83,QUESTION 84,OF ADORATION,In Three Articles,"In due sequence we must consider the external acts of latria, and in
the first place, adoration whereby one uses one's body to reverence
God; secondly, those acts whereby some external thing is offered to
God; thirdly, those acts whereby something belonging to God is
assumed.

Under the first head there are three points of inquiry:

(1) Whether adoration is an act of latria?

(2) Whether adoration denotes an internal or an external act?

(3) Whether adoration requires a definite place?
"
84,QUESTION 85,OF SACRIFICE,In Four Articles,"In due sequence we must consider those acts whereby external things
are offered to God. These give rise to a twofold consideration:
(1) Of things given to God by the faithful; (2) Of vows, whereby
something is promised to Him.

Under the first head we shall consider sacrifices, oblations,
first-fruits, and tithes. About sacrifices there are four points of
inquiry:

(1) Whether offering a sacrifice to God is of the law of nature?

(2) Whether sacrifice should be offered to God alone?

(3) Whether the offering of a sacrifice is a special act of virtue?

(4) Whether all are bound to offer sacrifice?
"
85,QUESTION 86,OF OBLATIONS AND FIRST-FRUITS,In Four Articles,"We must next consider oblations and first-fruits. Under this head
there are four points of inquiry:

(1) Whether any oblations are necessary as a matter of precept?

(2) To whom are oblations due?

(3) of what things they should be made?

(4) In particular, as to first-fruits, whether men are bound to offer
them?
"
86,QUESTION 87,OF TITHES,In Four Articles,"Next we must consider tithes, under which head there are four points
of inquiry:

(1) Whether men are bound by precept to pay tithes?

(2) Of what things ought tithes to be paid?

(3) To whom ought they to be paid?

(4) Who ought to pay tithes?
"
87,QUESTION 88,OF VOWS,In Twelve Articles,"We must now consider vows, whereby something is promised to God.
Under this head there are twelve points of inquiry:

(1) What is a vow?

(2) What is the matter of a vow?

(3) Of the obligation of vows;

(4) Of the use of taking vows;

(5) Of what virtue is it an act?

(6) Whether it is more meritorious to do a thing from a vow, than
without a vow?

(7) Of the solemnizing of a vow;

(8) Whether those who are under another's power can take vows?

(9) Whether children may be bound by vow to enter religion?

(10) Whether a vow is subject to dispensation or commutation?

(11) Whether a dispensation can be granted in a solemn vow of
continence?

(12) Whether the authority of a superior is required in a
dispensation from a vow?
"
88,QUESTION 89,OF OATHS,In Ten Articles,"We must now consider those external acts of religion, whereby
something Divine is taken by man: and this is either a sacrament or
the Name of God. The place for treating of the taking of a sacrament
will be in the Third Part of this work: of the taking of God's Name
we shall treat now. The Name of God is taken by man in three ways.
First, by way oath in order to confirm one's own assertion: secondly,
by way of adjuration as an inducement to others: thirdly, by way of
invocation for the purpose of prayer or praise. Accordingly we must
first treat of oaths: and under this head there are ten points of
inquiry:

(1) What is an oath?

(2) Whether it is lawful?

(3) What are the accompanying conditions of an oath?

(4) Of what virtue is it an act?

(5) Whether oaths are desirable, and to be employed frequently as
something useful and good?

(6) Whether it is lawful to swear by a creature?

(7) Whether an oath is binding?

(8) Which is more binding, an oath or a vow?

(9) Whether an oath is subject to dispensation?

(10) Who may lawfully swear, and when?
"
89,QUESTION 90,OF THE TAKING OF GOD'S NAME BY WAY OF ADJURATION,In Three Articles,"We must now consider the taking of God's name by way of adjuration:
under which head there are three points of inquiry:

(1) Whether it is lawful to adjure a man?

(2) Whether it is lawful to adjure the demons?

(3) Whether it is lawful to adjure irrational creatures?
"
90,QUESTION 91,OF TAKING THE DIVINE NAME FOR THE PURPOSE OF INVOKING IT BY MEANS OF PRAISE,In Two Articles,"We must now consider the taking of the Divine name for the purpose of
invoking it by prayer or praise. Of prayer we have already spoken
(Q. 83). Wherefore we must speak now of praise. Under this head there
are two points of inquiry:

(1) Whether God should be praised with the lips?

(2) Whether God should be praised with song?
"
91,QUESTION 92,OF SUPERSTITION,In Two Articles,"In due sequence we must consider the vices that are opposed to
religion. First we shall consider those which agree with religion in
giving worship to God; secondly, we shall treat of those vices which
are manifestly contrary to religion, through showing contempt of those
things that pertain to the worship of God. The former come under the
head of superstition, the latter under that of irreligion. Accordingly
we must consider in the first place, superstition and its parts, and
afterwards irreligion and its parts.

Under the first head there are two points of inquiry:

(1) Whether superstition is a vice opposed to religion?

(2) Whether it has several parts or species?
"
92,QUESTION 93,OF SUPERSTITION CONSISTING IN UNDUE WORSHIP OF THE TRUE GOD,In Two Articles,"We must now consider the species of superstition. We shall treat (1)
Of the superstition which consists in giving undue worship to the true
God; (2) Of the superstition of idolatry; (3) of divinatory
superstition; (4) of the superstition of observances.

Under the first head there are two points of inquiry:

(1) Whether there can be anything pernicious in the worship of the
true God?

(2) Whether there can be anything superfluous therein?
"
93,QUESTION 94,OF IDOLATRY,In Four Articles,"We must now consider idolatry: under which head there are four points
of inquiry:

(1) Whether idolatry is a species of superstition?

(2) Whether it is a sin?

(3) Whether it is the gravest sin?

(4) Of the cause of this sin.
"
94,QUESTION 95,OF SUPERSTITION IN DIVINATIONS,In Eight Articles,"We must now consider superstition in divinations, under which head
there are eight points of inquiry:

(1) Whether divination is a sin?

(2) Whether it is a species of superstition?

(3) Of the species of divination;

(4) Of divination by means of demons;

(5) Of divination by the stars;

(6) Of divination by dreams;

(7) Of divination by auguries and like observances;

(8) Of divination by lots.
"
95,QUESTION 96,OF SUPERSTITION IN OBSERVANCES,In Four Articles,"We must now consider superstition in observances, under which head
there are four points of inquiry:

(1) Of observances for acquiring knowledge, which are prescribed by
the magic art;

(2) Of observances for causing alterations in certain bodies;

(3) Of observances practiced in fortune-telling;

(4) Of wearing sacred words at the neck.
"
96,QUESTION 97,OF THE TEMPTATION OF GOD,In Four Articles,"We must now consider the vices that are opposed to religion, through
lack of religion, and which are manifestly contrary thereto, so that
they come under the head of irreligion. Such are the vices which
pertain to contempt or irreverence for God and holy things.
Accordingly we shall consider: (1) Vices pertaining directly to
irreverence for God; (2) Vices pertaining to irreverence for holy
things. With regard to the first we shall consider the temptation
whereby God is tempted, and perjury, whereby God's name is taken with
irreverence. Under the first head there are four points of inquiry:

(1) In what the temptation of God consists;

(2) Whether it is a sin?

(3) To what virtue it is opposed;

(4) Of its comparison with other vices.
"
97,QUESTION 98,OF PERJURY,In Four Articles,"We must now consider perjury: under which head there are four points
of inquiry:

(1) Whether falsehood is necessary for perjury?

(2) Whether perjury is always a sin?

(3) Whether it is always a mortal sin?

(4) Whether it is a sin to enjoin an oath on a perjurer?
"
98,QUESTION 99,OF SACRILEGE,In Four Articles,"We must now consider the vices which pertain to irreligion,
whereby sacred things are treated with irreverence. We shall
consider (1) Sacrilege; (2) Simony.

Under the first head there are four points of inquiry:

(1) What is sacrilege?

(2) Whether it is a special sin?

(3) Of the species of sacrilege;

(4) Of the punishment of sacrilege.
"
99,QUESTION 100,ON SIMONY,In Six Articles,"We must now consider simony, under which head there are six points of
inquiry:

(1) What is simony?

(2) Whether it is lawful to accept money for the sacraments?

(3) Whether it is lawful to accept money for spiritual actions?

(4) Whether it is lawful to sell things connected with spirituals?

(5) Whether real remuneration alone makes a man guilty of simony, or
also oral remuneration or remuneration by service?

(6) Of the punishment of simony.
"
100,QUESTION 101,OF PIETY,In Four Articles,"After religion we must consider piety, the consideration of which
will render the opposite vices manifest. Accordingly four points of
inquiry arise with regard to piety:

(1) To whom does piety extend?

(2) What does piety make one offer a person?

(3) Whether piety is a special virtue?

(4) Whether the duties of piety should be omitted for the sake of
religion?
"
101,QUESTION 102,"OF OBSERVANCE, CONSIDERED IN ITSELF, AND OF ITS PARTS",In Three Articles,"We must now consider observance and its parts, the considerations of
which will manifest the contrary vices.

Under the head of observance there are three points of inquiry:

(1) Whether observance is a special virtue, distinct from other
virtues?

(2) What does observance offer?

(3) Of its comparison with piety.
"
102,QUESTION 103,OF DULIA,In Four Articles,"We must now consider the parts of observance. We shall consider
(1) dulia, whereby we pay honor and other things pertaining thereto
to those who are in a higher position; (2) obedience, whereby we obey
their commands.

Under the first head there are four points of inquiry:

(1) Whether honor is a spiritual or a corporal thing?

(2) Whether honor is due to those only who are in a higher position?

(3) Whether dulia, which pays honor and worship to those who are
above us, is a special virtue, distinct from latria?

(4) Whether it contains several species?
"
103,QUESTION 104,OF OBEDIENCE,In Six Articles,"We must now consider obedience, under which head there are six points
of inquiry:

(1) Whether one man is bound to obey another?

(2) Whether obedience is a special virtue?

(3) Of its comparison with other virtues;

(4) Whether God must be obeyed in all things?

(5) Whether subjects are bound to obey their superiors in all things?

(6) Whether the faithful are bound to obey the secular power?
"
104,QUESTION 105,OF DISOBEDIENCE,In Two Articles,"We must now consider disobedience, under which head there are two
points of inquiry:

(1) Whether it is a mortal sin?

(2) Whether it is the most grievous of sins?
"
105,QUESTION 106,OF THANKFULNESS OR GRATITUDE,In Six Articles,"We must now consider thankfulness or gratitude, and ingratitude.
Concerning thankfulness there are six points of inquiry:

(1) Whether thankfulness is a special virtue distinct from other
virtues?

(2) Who owes more thanks to God, the innocent or the penitent?

(3) Whether man is always bound to give thanks for human favors?

(4) Whether thanksgiving should be deferred?

(5) Whether thanksgiving should be measured according to the favor
received or the disposition of the giver?

(6) Whether one ought to pay back more than one has received?
"
106,QUESTION 107,OF INGRATITUDE,In Four Articles,"We must now consider ingratitude, under which head there are four
points of inquiry:

(1) Whether ingratitude is always a sin?

(2) Whether ingratitude is a special sin?

(3) Whether every act of ingratitude is a mortal sin?

(4) Whether favors should be withdrawn from the ungrateful?
"
107,QUESTION 108,OF VENGEANCE,In Four Articles,"We must now consider vengeance, under which head there are four
points of inquiry:

(1) Whether vengeance is lawful?

(2) Whether it is a special virtue?

(3) Of the manner of taking vengeance;

(4) On whom should vengeance be taken?
"
108,QUESTION 109,OF TRUTH,In Four Articles,"We must now consider truth and the vices opposed thereto. Concerning
truth there are four points of inquiry:

(1) Whether truth is a virtue?

(2) Whether it is a special virtue?

(3) Whether it is a part of justice?

(4) Whether it inclines to that which is less?
"
109,QUESTION 110,"OF THE VICES OPPOSED TO TRUTH, AND FIRST OF LYING",In Four Articles,"We must now consider the vices opposed to truth, and (1) lying:
(2) dissimulation or hypocrisy: (3) boasting and the opposite vice.
Concerning lying there are four points of inquiry:

(1) Whether lying, as containing falsehood, is always opposed to
truth?

(2) Of the species of lying;

(3) Whether lying is always a sin?

(4) Whether it is always a mortal sin?
"
110,QUESTION 111,OF DISSIMULATION AND HYPOCRISY,In Four Articles,"In due sequence we must consider dissimulation and hypocrisy. Under
this head there are four points of inquiry:

(1) Whether all dissimulation is a sin?

(2) Whether hypocrisy is dissimulation?

(3) Whether it is opposed to truth?

(4) Whether it is a mortal sin?
"
111,QUESTION 112,OF BOASTING,In Two Articles,"We must now consider boasting and irony, which are parts of lying
according to the Philosopher (Ethic. iv, 7). Under the first head,
namely, boasting, there are two points of inquiry:

(1) To which virtue is it opposed?

(2) Whether it is a mortal sin?
"
112,QUESTION 113,IRONY*,In Two Articles,"[*Irony here must be given the signification of the Greek _eironia_,
whence it is derived: dissimulation of one's own good points.]

We must now consider irony, under which head there are two points of
inquiry:

(1) Whether irony is a sin?

(2) Of its comparison with boasting.
"
113,QUESTION 114,OF THE FRIENDLINESS WHICH IS CALLED AFFABILITY,In Two Articles,"We must now consider the friendliness which is called affability, and
the opposite vices which are flattery and quarreling. Concerning
friendliness or affability, there are two points of inquiry:

(1) Whether it is a special virtue?

(2) Whether it is a part of justice?
"
114,QUESTION 115,OF FLATTERY,In Two Articles,"We must now consider the vices opposed to the aforesaid virtue:
(1) Flattery, and (2) Quarreling. Concerning flattery there are two
points of inquiry:

(1) Whether flattery is a sin?

(2) Whether it is a mortal sin?
"
115,QUESTION 116,OF QUARRELING,In Two Articles,"We must now consider quarreling; concerning which there are two
points of inquiry:

(1) Whether it is opposed to the virtue of friendship?

(2) Of its comparison with flattery?
"
116,QUESTION 117,OF LIBERALITY,In Six Articles,"We must now consider liberality and the opposite vices, namely,
covetousness and prodigality.

Concerning liberality there are six points of inquiry:

(1) Whether liberality is a virtue?

(2) What is its matter?

(3) Of its act;

(4) Whether it pertains thereto to give rather than to take?

(5) Whether liberality is a part of justice?

(6) Of its comparison with other virtues.
"
117,QUESTION 118,"OF THE VICES OPPOSED TO LIBERALITY, AND IN THE FIRST PLACE, OF COVETOUSNESS",In Eight Articles,"We must now consider the vices opposed to liberality: and
(1) covetousness; (2) prodigality.

Under the first head there are eight points of inquiry:

(1) Whether covetousness is a sin?

(2) Whether it is a special sin?

(3) To which virtue it is opposed;

(4) Whether it is a mortal sin?

(5) Whether it is the most grievous of sins?

(6) Whether it is a sin of the flesh or a spiritual sin?

(7) Whether it is a capital vice?

(8) Of its daughters.
"
118,QUESTION 119,OF PRODIGALITY,In Three Articles,"We must now consider prodigality, under which head there are three
points of inquiry:

(1) Whether prodigality is opposite to covetousness?

(2) Whether prodigality is a sin?

(3) Whether it is a graver sin that covetousness?
"
119,QUESTION 120,"OF ""EPIKEIA"" OR EQUITY",In Two Articles,"We must now consider ""epikeia,"" under which head there are two points
of inquiry:

(1) Whether ""epikeia"" is a virtue?

(2) Whether it is a part of justice?
"
120,QUESTION 121,OF PIETY,In Two Articles,"We must now consider the gift that corresponds to justice; namely,
piety. Under this head there are two points of inquiry:

(1) Whether it is a gift of the Holy Ghost?

(2) Which of the beatitudes and fruits corresponds to it?
"
121,QUESTION 122,OF THE PRECEPTS OF JUSTICE,In Six Articles,"We must now consider the precepts of justice, under which head there
are six points of inquiry:

(1) Whether the precepts of the decalogue are precepts of justice?

(2) Of the first precept of the decalogue;

(3) Of the second;

(4) Of the third;

(5) Of the fourth;

(6) Of the other six.
"
122,QUESTION 123,OF FORTITUDE,In Twelve Articles,"After considering justice we must in due sequence consider fortitude.
We must (1) consider the virtue itself of fortitude; (2) its parts;
(3) the gift corresponding thereto; (4) the precepts that pertain to
it.

Concerning fortitude three things have to be considered:
(1) Fortitude itself; (2) its principal act, viz. martyrdom;
(3) the vices opposed to fortitude.

Under the first head there are twelve points of inquiry:

(1) Whether fortitude is a virtue?

(2) Whether it is a special virtue?

(3) Whether fortitude is only about fear and daring?

(4) Whether it is only about fear of death?

(5) Whether it is only in warlike matters?

(6) Whether endurance is its chief act?

(7) Whether its action is directed to its own good?

(8) Whether it takes pleasure in its own action?

(9) Whether fortitude deals chiefly with sudden occurrences?

(10) Whether it makes use of anger in its action?

(11) Whether it is a cardinal virtue?

(12) Of its comparison with the other cardinal virtues.
"
123,QUESTION 124,OF MARTYRDOM,In Five Articles,"We must now consider martyrdom, under which head there are five
points of inquiry:

(1) Whether martyrdom is an act of virtue?

(2) Of what virtue is it the act?

(3) Concerning the perfection of this act;

(4) The pain of martyrdom;

(5) Its cause.
"
124,QUESTION 125,OF FEAR*,In Four Articles,"[* St. Thomas calls this vice indifferently 'fear' or 'timidity.' The
translation requires one to adhere to these terms on account of the
connection with the passion of fear. Otherwise 'cowardice' would be a
better rendering.]

We must now consider the vices opposed to fortitude: (1) Fear; (2)
Fearlessness; (3) Daring.

Under the first head there are four points of inquiry:

(1) Whether fear is a sin?

(2) Whether it is opposed to fortitude?

(3) Whether it is a mortal sin?

(4) Whether it excuses from sin, or diminishes it?
"
125,QUESTION 126,OF FEARLESSNESS,In Two Articles,"We must now consider the vice of fearlessness: under which head there
are two points of inquiry:

(1) Whether it is a sin to be fearless?

(2) Whether it is opposed to fortitude?
"
126,QUESTION 127,OF DARING*,In Two Articles,"[*Excessive daring or foolhardiness]

We must now consider daring; and under this head there are two points
of inquiry:

(1) Whether daring is a sin?

(2) Whether it is opposed to fortitude?
"
127,QUESTION 128,OF THE PARTS OF FORTITUDE,In One Article,"We must now consider the parts of fortitude; first we shall consider
what are the parts of fortitude; and secondly we shall treat of each
part.
"
128,QUESTION 129,OF MAGNANIMITY*,In Eight Articles,"[*Not in the ordinary restricted sense but as explained by the author]

We must now consider each of the parts of fortitude, including,
however, the other parts under those mentioned by Tully, with the
exception of confidence, for which we shall substitute magnanimity,
of which Aristotle treats. Accordingly we shall consider
(1) Magnanimity; (2) Magnificence; (3) Patience; (4) Perseverance.
As regards the first we shall treat (1) of magnanimity; (2) of its
contrary vices. Under the first head there are eight points of
inquiry:

(1) Whether magnanimity is about honors?

(2) Whether magnanimity is only about great honors?

(3) Whether it is a virtue?

(4) Whether it is a special virtue?

(5) Whether it is a part of fortitude?

(6) Of its relation to confidence;

(7) Of its relation to assurance;

(8) Of its relation to goods of fortune.
"
129,QUESTION 130,OF PRESUMPTION,In Two Articles,"We must now consider the vices opposed to magnanimity; and in the
first place, those that are opposed thereto by excess. These are
three, namely, presumption, ambition, and vainglory. Secondly, we
shall consider pusillanimity which is opposed to it by way of
deficiency. Under the first head there are two points of inquiry:

(1) Whether presumption is a sin?

(2) Whether it is opposed to magnanimity by excess?
"
130,QUESTION 131,OF AMBITION,In Two Articles,"We must now consider ambition: and under this head there are two
points of inquiry:

(1) Whether it is a sin?

(2) Whether it is opposed to magnanimity by excess?
"
131,QUESTION 132,OF VAINGLORY,In Five Articles,"We must now consider vainglory: under which head there are five
points of inquiry:

(1) Whether desire of glory is a sin?

(2) Whether it is opposed to magnanimity?

(3) Whether it is a mortal sin?

(4) Whether it is a capital vice?

(5) Of its daughters.
"
132,QUESTION 133,OF PUSILLANIMITY,In Two Articles,"We must now consider pusillanimity. Under this head there are two
points of inquiry:

(1) Whether pusillanimity is a sin?

(2) To what virtue is it opposed?
"
133,QUESTION 134,OF MAGNIFICENCE,In Four Articles,"We must now consider magnificence and the vices opposed to it. With
regard to magnificence there are four points of inquiry:

(1) Whether magnificence is a virtue?

(2) Whether it is a special virtue?

(3) What is its matter?

(4) Whether it is a part of fortitude?
"
134,QUESTION 135,OF MEANNESS*,In Two Articles,"[*""Parvificentia,"" or doing mean things, just as ""magnificentia"" is
doing great things.]

We must now consider the vices opposed to magnificence: under which
head there are two points of inquiry:

(1) Whether meanness is a vice?

(2) Of the vice opposed to it.
"
135,QUESTION 136,OF PATIENCE,In Five Articles,"We must now consider patience. Under this head there are five points
of inquiry:

(1) Whether patience is a virtue?

(2) Whether it is the greatest of the virtues?

(3) Whether it can be had without grace?

(4) Whether it is a part of fortitude?

(5) Whether it is the same as longanimity?
"
136,QUESTION 137,OF PERSEVERANCE,In Four Articles,"We must now consider perseverance and the vices opposed to it. Under
the head of perseverance there are four points of inquiry:

(1) Whether perseverance is a virtue?

(2) Whether it is a part of fortitude?

(3) Of its relation to constancy;

(4) Whether it needs the help of grace?
"
137,QUESTION 138,OF THE VICES OPPOSED TO PERSEVERANCE,In Two Articles,"We must now consider the vices opposed to perseverance; under which
head there are two points of inquiry:

(1) Of effeminacy;

(2) Of pertinacity.
"
138,QUESTION 139,OF THE GIFT OF FORTITUDE,In Two Articles,"We must next consider the gift corresponding to fortitude, and this
is the gift of fortitude. Under this head there are two points of
inquiry:

(1) Whether fortitude is a gift?

(2) Which among the beatitudes and fruits correspond to it?
"
139,QUESTION 140,OF THE PRECEPTS OF FORTITUDE,In Two Articles,"We must next consider the precepts of fortitude:

(1) The precepts of fortitude itself;

(2) The precepts of its parts.
"
140,QUESTION 141,OF TEMPERANCE,In Eight Articles,"In the next place we must consider temperance: (1) Temperance itself;
(2) its parts; (3) its precepts. With regard to temperance we must
consider (1) temperance itself; (2) the contrary vices.

Under the first head there are eight points of inquiry:

(1) Whether temperance is a virtue?

(2) Whether it is a special virtue?

(3) Whether it is only about desires and pleasures?

(4) Whether it is only about pleasures of touch?

(5) Whether it is about pleasures of taste, as such, or only as a
kind of touch?

(6) What is the rule of temperance?

(7) Whether it is a cardinal, or principal, virtue?

(8) Whether it is the greatest of virtues?
"
141,QUESTION 142,OF THE VICES OPPOSED TO TEMPERANCE,In Four Articles,"We must now consider the vices opposed to temperance. Under this head
there are four points of inquiry:

(1) Whether insensibility is a sin?

(2) Whether intemperance is a childish sin?

(3) Of the comparison between intemperance and timidity;

(4) Whether intemperance is the most disgraceful of vices?
"
142,QUESTION 143,"OF THE PARTS OF TEMPERANCE, IN GENERAL",In One Article,"We must now consider the parts of temperance: we shall consider these
same parts (1) in general; (2) each of them in particular.
"
143,QUESTION 144,OF SHAMEFACEDNESS,In Four Articles,"We must now consider the parts of temperance in particular: and in
the first place the integral parts, which are shamefacedness and
honesty. With regard to shamefacedness there are four points of
inquiry:

(1) Whether shamefacedness is a virtue?

(2) What is its object?

(3) Who are the cause of a man being ashamed?

(4) What kind of people are ashamed?
"
